"CODAUTO","CPRO","CMUN","DC","NOMBRE","SUPERFICIE","HABITANTES"
"01","18","018","8","Alquife",12.19,601
"01","04","015","7","Alsodux",20.1,125
"09","25","024","1","Alt Àneu",217.75,405
"07","09","013","0","Altable",8.22,51
"09","43","012","0","Altafulla",6.92,5243
"08","16","019","9","Altarejos",91.32,190
"10","03","018","7","Altea",34.43,22290
"02","22","025","0","Altorricón",32.41,1417
"07","09","014","5","Altos, Los",139.85,195
"15","31","010","9","Altsasu/Alsasua",26.72,7443
"10","12","012","0","Altura",129.43,3528
"16","20","906","6","Altzaga",2.52,183
"16","20","007","1","Altzo",9.77,435
"08","19","027","3","Alustante",93.04,153
"10","46","017","4","Alzira",110.49,44352
"07","05","012","6","Amavida",15.02,132
"07","34","009","1","Amayuelas de Arriba",10.17,35
"02","50","027","0","Ambel",61.46,254
"13","28","011","2","Ambite",26,592
"09","17","007","8","Amer",39.69,2298
"12","15","002","6","Ames",80.1,31793
"15","31","013","7","Améscoa Baja",30.2,724
"09","43","013","6","Ametlla de Mar, L'",67.14,6787
"09","08","005","7","Ametlla del Vallès, L'",14.21,8462
"07","09","016","1","Ameyugo",12.51,107
"16","20","008","7","Amezketa",20.58,921
"03","33","003","0","Amieva",114.98,661
"12","32","002","8","Amoeiro",39.68,2280
"16","48","003","1","Amorebieta-Etxano",58.84,19339
"16","48","004","6","Amoroto",13.07,410
"09","43","906","0","Ampolla, L'",35.67,3205
"09","43","014","1","Amposta",137.65,20738
"07","34","010","5","Ampudia",133.17,605
"06","39","002","0","Ampuero",32.47,4288
"16","01","002","9","Amurrio",96.35,10350
"07","34","011","2","Amusco",78.86,423
"07","47","009","1","Amusquillo",15.91,103
"02","44","024","4","Anadón",24.62,28
"07","40","017","5","Anaya",15.19,129
"07","37","029","9","Anaya de Alba",37.04,201
"13","28","012","7","Anchuelo",21.55,1271
"08","13","017","9","Anchuras",231.05,327
"15","31","014","2","Ancín/Antzin",9.48,337
"07","49","009","0","Andavías",23.14,444
"10","46","038","6","Andilla",142.58,319
"16","20","009","0","Andoain",27.17,14637
"02","44","025","7","Andorra",141.36,7472
"15","31","015","5","Andosilla",51.51,2743
"04","07","005","1","Andratx",81.46,11271
"01","23","005","0","Andújar",964.9,36793
"02","50","028","6","Anento",21.52,106
"09","17","008","4","Anglès",16.33,5599
"09","25","027","3","Anglesola",23.68,1363
"08","19","031","3","Angón",20.41,10
"17","26","013","1","Anguciana",5.05,433
"02","22","027","9","Angüés",56.51,354
"17","26","014","6","Anguiano",90.91,497
"08","19","032","8","Anguita",127.22,156
